Reference, Value, Footprint, Datasheet, Digi-Key Part Number, Manufacturer, Part Number
"C1","1nF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","https://www.vishay.com/docs/45171/kseries.pdf","BC1072TR-ND","Vishay Beyschlag/Draloric/BC Components","K102K15X7RF5TL2"
"C2","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/YXJ.pdf","1189-1146-ND","Rubycon","16YXJ470M8X11.5"
"C3","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","1189-1146-ND","Rubycon","16YXJ470M8X11.5"
"D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","641-1457-2-ND","Comchip Technology","1N4007T-G"
"D2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","641-1457-2-ND","Comchip Technology","1N4007T-G"
"J1","Power Switch","Connectors:1X02",""
"J2","ATX-24","Connectors:ATX24_RIGHT_ANGLE","https://www.molex.com/pdm_docs/sd/039301240_sd.pdf","WM1362-ND","Molde","0039301240"
"JP1","J_GND_FLOAT","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm",""
"R1","6.8ohm","Resistor_THT:R_Axial_Power_L20.0mm_W6.4mm_P7.62mm_Vertical","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773285&DocType=DS&DocLang=English","A137446-ND","TE Connectivity","SQPW56R8J"
"R2","10kohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.seielect.com/catalog/sei-cf_cfm.pdf","CF14JT10K0TR-ND","Stackpole Electronics Inc","CF14JT10K0"
"R3","2kohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.seielect.com/catalog/sei-cf_cfm.pdf","CF14JT2K00TR-ND","Stackpole Electronics Inc","CF14JT2K00"
"U1","NE555P","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","296-NE555P-ND","Texas Instruments","NE555P"
